transaction_day,total_amount_withdrawn
01-01,503400
01-02,268600
01-03,603900
01-04,541600
01-05,530000
01-06,434500
01-07,334800
01-08,518900
01-09,337100
01-10,424200
01-11,390700
01-01,497200
01-13,411700
01-14,458500
01-15,163300
01-16,154100
01-17,100000
01-18,343100
01-19,428900
01-20,298000
01-21,350000
01-22,363600
01-23,288500
01-24,247800
01-25,363100
01-26,248200
01-27,402100
01-28,191800
01-29,384600
01-30,194400
01-31,526000
02-01,578100
02-02,472000
02-03,467800
02-04,534800
02-05,520200
02-06,478900
02-07,440400
02-08,609200
02-09,507800
02-10,456800
02-11,406100
02-12,429200
02-13,288100
02-14,365800
02-15,362000
02-16,277900
02-17,292300
02-18,242200
02-19,454200
02-20,347800
02-21,285600
02-22,350400
02-23,434100
02-24,205700
02-25,291300
02-26,608300
02-27,300000
02-28,354200
03-01,519100
03-02,616800
03-03,342800
03-04,433000
03-05,585800
03-06,428600
03-07,409800
03-08,670700
03-09,641900
03-10,372600
03-11,299400
03-12,634000
03-13,355700
03-14,474700
03-15,514500
03-16,437300
03-17,380600
03-18,362900
03-19,355400
03-20,300300
03-21,517800
03-22,259400
03-23,480300
03-24,370400
03-25,231700
03-26,448900
03-27,360300
03-28,493400
03-29,523300
03-30,627600
03-31,629200
04-01,480700
04-02,555800
04-03,580000
04-04,412900
04-05,406000
04-06,696000
04-07,637400
04-08,209400
04-09,550300
04-10,350200
04-11,442100
04-12,479600
04-13,178400
04-14,311800
04-15,531500
04-16,456400
04-17,268000
04-18,482600
04-19,217700
04-20,343500
04-21,246700
04-22,262900
04-23,212600
04-24,325700
04-25,55600
04-26,290300
04-27,359800
04-28,392100
04-29,348700
04-30,614900
05-01,468900
05-02,617800
05-03,552900
05-04,634000
05-05,563300
05-06,663000
05-07,641300
05-08,332600
05-09,403800
05-10,364400
05-11,489700
05-12,598500
05-13,382100
05-14,362200
05-15,306700
05-16,357500
05-17,331200
05-18,534300
05-19,462900
05-20,492000
05-21,467700
05-22,303300
05-23,402400
05-24,381900
05-25,272300
05-26,520300
05-27,282700
05-28,406400
05-29,361800
05-30,483400
05-31,500800
06-01,729400
06-02,580200
06-03,372100
06-04,682500
06-05,436900
06-06,516500
06-07,496900
06-08,519100
06-09,430100
06-10,460200
06-11,479000
06-12,321000
06-13,368500
06-14,288700
06-15,457100
06-16,440300
06-17,304100
06-18,413800
06-19,273900
06-20,566400
06-21,316900
06-22,446400
06-23,331700
06-24,487500
06-25,466300
06-26,387500
06-27,376700
06-28,286900
06-29,573900
06-30,570300
07-01,500200
07-02,714200
07-03,472800
07-04,615600
07-05,460300
07-06,569400
07-07,595300
07-08,408600
07-09,700300
07-10,462100
07-11,706300
07-12,526300
07-13,612900
07-14,564500
07-15,397200
07-16,434600
07-17,424200
07-18,417500
07-19,358500
07-20,516200
07-21,461900
07-22,491800
07-23,365100
07-24,423200
07-25,437600
07-26,269000
07-27,401300
07-28,369100
07-29,272400
07-30,663800
07-31,347300
08-01,657800
08-02,671500
08-03,554300
08-04,575500
08-05,451000
08-06,716600
08-07,525800
08-08,605500
08-09,604700
08-10,578500
08-11,509500
08-12,326400
08-13,515200
08-14,324400
08-15,124100
08-16,409000
08-17,520400
08-18,413000
08-19,340600
08-20,238500
08-21,379300
08-22,316700
08-23,376500
08-24,332900
08-25,374900
08-26,464600
08-27,628900
08-28,292800
08-29,317900
08-30,550100
08-31,384800
09-01,383300
09-02,600600
09-03,747200
09-04,576100
09-05,644200
09-06,631000
09-07,730000
09-08,683800
09-09,484900
09-10,663300
09-11,312200
09-12,412900
09-13,449000
09-14,437400
09-15,374800
09-16,354800
09-17,624100
09-18,278400
09-19,493600
09-20,378400
09-21,344200
09-22,286400
09-23,304300
09-24,491800
09-25,475100
09-26,433600
09-27,333100
09-28,417900
09-29,401100
09-30,338600
10-01,721900
10-02,397700
10-03,338600
10-04,704300
10-05,380000
10-06,411600
10-07,485400
10-08,615700
10-09,496400
10-10,751900
10-11,516900
10-12,498600
10-13,602900
10-14,395500
10-15,632400
10-16,399500
10-17,252100
10-18,496300
10-19,366100
10-20,381500
10-21,401000
10-22,489100
10-23,327700
10-24,412700
10-25,292900
10-26,151000
10-27,514300
10-28,403100
10-29,280900
10-30,339100
10-31,506700
11-01,429900
11-02,475900
11-03,416800
11-04,362500
11-05,507300
11-06,360800
11-07,416000
11-08,468800
11-09,545000
11-10,413500
11-11,579600
11-12,449100
11-13,338600
11-14,369000
11-15,483800
11-16,161000
11-17,359900
11-18,321400
11-19,433600
11-20,343800
11-21,391800
11-22,379400
11-23,350900
11-24,363300
11-25,294100
11-26,340600
11-27,138500
11-28,272600
11-29,358400
11-30,645300
12-01,517900
12-02,620200
12-03,701300
12-04,557100
12-05,420500
12-06,392500
12-07,464200
12-08,583200
12-09,469600
12-10,648300
12-11,382100
12-12,520000
12-13,322300
12-14,392100
12-15,305700
12-16,364300
12-17,382300
12-18,409600
12-19,442400
12-20,417600
12-21,353700
12-22,342600
12-23,396600
12-24,509000
12-25,256400
12-26,141700
12-27,263200
12-28,437000
12-29,350000
12-30,253600
12-31,749100
01-01,378800
01-02,574000
01-03,520400
01-04,529000
01-05,516400
01-06,431800
01-07,766600
01-08,598400
01-09,471100
01-10,631100
01-11,530900
01-12,538800
01-13,704600
01-14,688900
01-15,122300
01-16,137400
01-17,178200
01-18,335000
01-19,216200
01-20,423000
01-21,464300
01-22,440600
01-23,479600
01-24,282500
01-25,655300
01-26,352300
01-27,526100
01-28,514100
01-29,274500
01-30,366100
01-31,189300
02-01,629500
02-02,474500
02-03,523000
02-04,778500
02-05,341600
02-06,449700
02-07,510200
02-08,568700
02-09,586100
02-10,494800
02-11,616600
02-12,407300
02-13,365200
02-14,374800
02-15,550600
02-16,503000
02-17,248500
02-18,405600
02-19,256600
02-20,544700
02-21,348700
02-22,375700
02-23,338500
02-24,398800
02-25,503800
02-26,267800
02-27,258000
02-28,110500
02-29,606000
03-01,707900
03-02,594900
03-03,636100
03-04,686000
03-05,552300
03-06,520800
03-07,635600
03-08,574000
03-09,440200
03-10,777200
03-11,265200
03-12,382400
03-13,478000
03-14,442400
03-15,466600
03-16,394500
03-17,455700
