transaction_day,total_amount_withdrawn
01-01,123800
01-02,52800
01-03,88100
01-04,101600
01-05,98000
01-06,85900
01-07,76500
01-08,128600
01-09,89000
01-10,89800
01-11,111900
01-12,42700
01-13,81200
01-14,91100
01-15,115900
01-16,55100
01-17,129800
01-18,163600
01-19,79500
01-20,81700
01-21,86600
01-22,85400
01-23,36800
01-24,103900
01-25,139900
01-26,40500
01-27,83300
01-28,71300
01-29,163500
01-30,41100
01-31,70800
02-01,161700
02-02,79200
02-03,167800
02-04,112700
02-05,144000
02-06,110400
02-07,80300
02-08,175300
02-09,94600
02-10,78100
02-11,107400
02-12,143200
02-13,74900
02-14,117000
02-15,123700
02-16,23700
02-17,99700
02-18,141800
02-19,54300
02-20,56000
02-21,64200
02-22,142500
02-23,91900
02-24,74700
02-25,33700
02-26,119600
02-27,18000
02-28,149000
03-01,105800
03-02,143300
03-03,109100
03-04,167100
03-05,116000
03-06,110200
03-07,111300
03-08,134400
03-09,173100
03-10,127600
03-11,110200
03-12,82400
03-13,134700
03-14,76100
03-15,111200
03-16,131200
03-17,76300
03-18,97400
03-19,94300
03-20,9200
03-21,99400
03-22,47600
03-23,52800
03-24,34000
03-25,37900
03-26,41300
03-27,88800
03-28,144200
03-29,108600
03-30,110200
03-31,131800
04-01,134700
04-02,130500
04-03,237800
04-04,101000
04-05,202300
04-06,115400
04-07,109800
04-08,122500
04-09,155600
04-10,112700
04-11,141300
04-12,111500
04-13,208500
04-14,105600
04-15,90000
04-16,68100
04-17,103000
04-18,154000
04-19,92100
04-20,171400
04-21,120700
04-22,73900
04-23,112300
04-24,79900
04-25,71600
04-26,62100
04-27,80100
04-28,77600
04-29,86700
04-30,22400
05-01,60200
05-02,116500
05-03,97200
05-04,52900
05-05,111200
05-06,117300
05-07,138600
05-08,101000
05-09,65600
05-10,204200
05-11,114900
05-12,101000
05-13,53300
05-14,65000
05-15,57300
05-16,77900
05-17,66700
05-18,131400
05-19,162700
05-20,194700
05-21,98300
05-22,86900
05-23,107000
05-24,120800
05-25,250400
05-26,267400
05-27,161200
05-28,147900
05-29,68700
05-30,136800
05-31,133800
06-01,136500
06-02,109600
06-03,124700
06-04,209300
06-05,82200
06-06,127700
06-07,106000
06-08,109100
06-09,171700
06-10,121500
06-11,56700
06-12,125500
06-13,174800
06-14,72700
06-15,89100
06-16,144500
06-17,88200
06-18,118500
06-19,138500
06-20,148700
06-21,172000
06-22,104800
06-23,132500
06-24,197100
06-25,124100
06-26,54900
06-27,76500
06-28,189100
06-29,130000
06-30,101100
07-01,158800
07-02,68000
07-03,123200
07-04,93400
07-05,114000
07-06,96600
07-07,126800
07-08,113800
07-09,98200
07-10,163500
07-11,98400
07-12,86700
07-13,105700
07-14,48600
07-15,97500
07-16,122300
07-17,53400
07-18,100600
07-19,52500
07-20,158400
07-21,93800
07-22,121900
07-23,105300
07-24,146000
07-25,94900
07-26,135100
07-27,87400
07-28,109200
07-29,130300
07-30,163600
07-31,163300
08-01,292700
08-02,244000
08-03,310700
08-04,276400
08-05,190700
08-06,343200
08-07,227400
08-08,337600
08-09,269700
08-10,206400
08-11,209800
08-12,129400
08-13,73900
08-14,98300
08-15,29000
08-16,30800
08-17,85600
08-18,103500
08-19,48200
08-20,101300
08-21,129100
08-22,87500
08-23,135100
08-24,97600
08-25,125400
08-26,108500
08-27,63500
08-28,66500
08-29,103100
08-30,144800
08-31,132100
09-01,124000
09-02,201600
09-03,146900
09-04,232000
09-05,203100
09-06,109000
09-07,111500
09-08,133900
09-09,105700
09-10,67600
09-11,127100
09-12,93200
09-13,202600
09-14,118900
09-15,115100
09-16,195400
09-17,121000
09-18,113500
09-19,133200
09-20,117300
09-21,85600
09-22,51900
09-23,106000
09-24,69500
09-25,145800
09-26,32000
09-27,160400
09-28,149300
09-29,69500
09-30,177700
10-01,239500
10-02,149000
10-03,113200
10-04,68900
10-05,151600
10-07,36500
10-08,210500
10-09,181300
10-10,205000
10-11,106200
