transaction_day,total_amount_withdrawn
1991-01-01,503400
1991-01-02,268600
1991-01-03,603900
1991-01-04,541600
1991-01-05,530000
1991-01-06,434500
1991-01-07,334800
1991-01-08,518900
1991-01-09,337100
1991-01-10,424200
1991-01-11,390700
1991-01-01,497200
1991-01-13,411700
1991-01-14,458500
1991-01-15,163300
1991-01-16,154100
1991-01-17,100000
1991-01-18,343100
1991-01-19,428900
1991-01-20,298000
1991-01-21,350000
1991-01-22,363600
1991-01-23,288500
1991-01-24,247800
1991-01-25,363100
1991-01-26,248200
1991-01-27,402100
1991-01-28,191800
1991-01-29,384600
1991-01-30,194400
1991-01-31,526000
1991-02-01,578100
1991-02-02,472000
1991-02-03,467800
1991-02-04,534800
1991-02-05,520200
1991-02-06,478900
1991-02-07,440400
1991-02-08,609200
1991-02-09,507800
1991-02-10,456800
1991-02-11,406100
1991-02-12,429200
1991-02-13,288100
1991-02-14,365800
1991-02-15,362000
1991-02-16,277900
1991-02-17,292300
1991-02-18,242200
1991-02-19,454200
1991-02-20,347800
1991-02-21,285600
1991-02-22,350400
1991-02-23,434100
1991-02-24,205700
1991-02-25,291300
1991-02-26,608300
1991-02-27,300000
1991-02-28,354200
1991-03-01,519100
1991-03-02,616800
1991-03-03,342800
1991-03-04,433000
1991-03-05,585800
1991-03-06,428600
1991-03-07,409800
1991-03-08,670700
1991-03-09,641900
1991-03-10,372600
1991-03-11,299400
1991-03-12,634000
1991-03-13,355700
1991-03-14,474700
1991-03-15,514500
1991-03-16,437300
1991-03-17,380600
1991-03-18,362900
1991-03-19,355400
1991-03-20,300300
1991-03-21,517800
1991-03-22,259400
1991-03-23,480300
1991-03-24,370400
1991-03-25,231700
1991-03-26,448900
1991-03-27,360300
1991-03-28,493400
1991-03-29,523300
1991-03-30,627600
1991-03-31,629200
1991-04-01,480700
1991-04-02,555800
1991-04-03,580000
1991-04-04,412900
1991-04-05,406000
1991-04-06,696000
1991-04-07,637400
1991-04-08,209400
1991-04-09,550300
1991-04-10,350200
1991-04-11,442100
1991-04-12,479600
1991-04-13,178400
1991-04-14,311800
1991-04-15,531500
1991-04-16,456400
1991-04-17,268000
1991-04-18,482600
1991-04-19,217700
1991-04-20,343500
1991-04-21,246700
1991-04-22,262900
1991-04-23,212600
1991-04-24,325700
1991-04-25,55600
1991-04-26,290300
1991-04-27,359800
1991-04-28,392100
1991-04-29,348700
1991-04-30,614900
1991-05-01,468900
1991-05-02,617800
1991-05-03,552900
1991-05-04,634000
1991-05-05,563300
1991-05-06,663000
1991-05-07,641300
1991-05-08,332600
1991-05-09,403800
1991-05-10,364400
1991-05-11,489700
1991-05-12,598500
1991-05-13,382100
1991-05-14,362200
1991-05-15,306700
1991-05-16,357500
1991-05-17,331200
1991-05-18,534300
1991-05-19,462900
1991-05-20,492000
1991-05-21,467700
1991-05-22,303300
1991-05-23,402400
1991-05-24,381900
1991-05-25,272300
1991-05-26,520300
1991-05-27,282700
1991-05-28,406400
1991-05-29,361800
1991-05-30,483400
1991-05-31,500800
1991-06-01,729400
1991-06-02,580200
1991-06-03,372100
1991-06-04,682500
1991-06-05,436900
1991-06-06,516500
1991-06-07,496900
1991-06-08,519100
1991-06-09,430100
1991-06-10,460200
1991-06-11,479000
1991-06-12,321000
1991-06-13,368500
1991-06-14,288700
