transaction_day,total_amount_withdrawn
1-01-01,503400
1-01-02,268600
1-01-03,603900
1-01-04,541600
1-01-05,530000
1-01-06,434500
1-01-07,334800
1-01-08,518900
1-01-09,337100
1-01-10,424200
1-01-11,390700
1-01-01,497200
1-01-13,411700
1-01-14,458500
1-01-15,163300
1-01-16,154100
1-01-17,100000
1-01-18,343100
1-01-19,428900
1-01-20,298000
1-01-21,350000
1-01-22,363600
1-01-23,288500
1-01-24,247800
1-01-25,363100
1-01-26,248200
1-01-27,402100
1-01-28,191800
1-01-29,384600
1-01-30,194400
1-01-31,526000
1-02-01,578100
1-02-02,472000
1-02-03,467800
1-02-04,534800
1-02-05,520200
1-02-06,478900
1-02-07,440400
1-02-08,609200
1-02-09,507800
1-02-10,456800
1-02-11,406100
1-02-12,429200
1-02-13,288100
1-02-14,365800
1-02-15,362000
1-02-16,277900
1-02-17,292300
1-02-18,242200
1-02-19,454200
1-02-20,347800
1-02-21,285600
1-02-22,350400
1-02-23,434100
1-02-24,205700
1-02-25,291300
1-02-26,608300
1-02-27,300000
1-02-28,354200
1-03-01,519100
1-03-02,616800
1-03-03,342800
1-03-04,433000
1-03-05,585800
1-03-06,428600
1-03-07,409800
1-03-08,670700
1-03-09,641900
1-03-10,372600
1-03-11,299400
1-03-12,634000
1-03-13,355700
1-03-14,474700
1-03-15,514500
1-03-16,437300
1-03-17,380600
1-03-18,362900
1-03-19,355400
1-03-20,300300
1-03-21,517800
1-03-22,259400
1-03-23,480300
1-03-24,370400
1-03-25,231700
1-03-26,448900
1-03-27,360300
1-03-28,493400
1-03-29,523300
1-03-30,627600
1-03-31,629200
1-04-01,480700
1-04-02,555800
1-04-03,580000
1-04-04,412900
1-04-05,406000
1-04-06,696000
1-04-07,637400
1-04-08,209400
1-04-09,550300
1-04-10,350200
1-04-11,442100
1-04-12,479600
1-04-13,178400
1-04-14,311800
1-04-15,531500
1-04-16,456400
1-04-17,268000
1-04-18,482600
1-04-19,217700
1-04-20,343500
1-04-21,246700
1-04-22,262900
1-04-23,212600
1-04-24,325700
1-04-25,55600
1-04-26,290300
1-04-27,359800
1-04-28,392100
1-04-29,348700
1-04-30,614900
1-05-01,468900
1-05-02,617800
1-05-03,552900
1-05-04,634000
1-05-05,563300
1-05-06,663000
1-05-07,641300
1-05-08,332600
1-05-09,403800
1-05-10,364400
1-05-11,489700
1-05-12,598500
1-05-13,382100
1-05-14,362200
1-05-15,306700
1-05-16,357500
1-05-17,331200
1-05-18,534300
1-05-19,462900
1-05-20,492000
1-05-21,467700
1-05-22,303300
1-05-23,402400
1-05-24,381900
1-05-25,272300
1-05-26,520300
1-05-27,282700
1-05-28,406400
1-05-29,361800
1-05-30,483400
1-05-31,500800
1-06-01,729400
1-06-02,580200
1-06-03,372100
1-06-04,682500
1-06-05,436900
1-06-06,516500
1-06-07,496900
1-06-08,519100
1-06-09,430100
1-06-10,460200
1-06-11,479000
1-06-12,321000
1-06-13,368500
1-06-14,288700
1-06-15,457100
1-06-16,440300
1-06-17,304100
1-06-18,413800
1-06-19,273900
1-06-20,566400
1-06-21,316900
1-06-22,446400
1-06-23,331700
1-06-24,487500
1-06-25,466300
1-06-26,387500
1-06-27,376700
1-06-28,286900
1-06-29,573900
1-06-30,570300
1-07-01,500200
1-07-02,714200
1-07-03,472800
1-07-04,615600
1-07-05,460300
1-07-06,569400
1-07-07,595300
1-07-08,408600
1-07-09,700300
1-07-10,462100
1-07-11,706300
1-07-12,526300
1-07-13,612900
1-07-14,564500
1-07-15,397200
1-07-16,434600
1-07-17,424200
1-07-18,417500
1-07-19,358500
1-07-20,516200
1-07-21,461900
1-07-22,491800
1-07-23,365100
1-07-24,423200
1-07-25,437600
1-07-26,269000
1-07-27,401300
1-07-28,369100
1-07-29,272400
1-07-30,663800
1-07-31,347300
1-08-01,657800
1-08-02,671500
1-08-03,554300
1-08-04,575500
1-08-05,451000
1-08-06,716600
1-08-07,525800
1-08-08,605500
1-08-09,604700
1-08-10,578500
1-08-11,509500
1-08-12,326400
1-08-13,515200
1-08-14,324400
1-08-15,124100
1-08-16,409000
1-08-17,520400
1-08-18,413000
1-08-19,340600
1-08-20,238500
1-08-21,379300
1-08-22,316700
1-08-23,376500
1-08-24,332900
1-08-25,374900
1-08-26,464600
1-08-27,628900
1-08-28,292800
1-08-29,317900
1-08-30,550100
1-08-31,384800
1-09-01,383300
1-09-02,600600
1-09-03,747200
1-09-04,576100
1-09-05,644200
1-09-06,631000
1-09-07,730000
1-09-08,683800
1-09-09,484900
1-09-10,663300
1-09-11,312200
1-09-12,412900
1-09-13,449000
1-09-14,437400
1-09-15,374800
1-09-16,354800
1-09-17,624100
1-09-18,278400
1-09-19,493600
1-09-20,378400
1-09-21,344200
1-09-22,286400
1-09-23,304300
1-09-24,491800
1-09-25,475100
1-09-26,433600
1-09-27,333100
1-09-28,417900
1-09-29,401100
1-09-30,338600
1-10-1,721900
1-10-2,397700
1-10-3,338600
1-10-4,704300
1-10-5,380000
1-10-6,411600
1-10-7,485400
1-10-8,615700
1-10-9,496400
1-10-10,751900
1-10-11,516900
1-10-12,498600
1-10-13,602900
1-10-14,395500
1-10-15,632400
1-10-16,399500
1-10-17,252100
1-10-18,496300
1-10-19,366100
1-10-20,381500
1-10-21,401000
1-10-22,489100
1-10-23,327700
1-10-24,412700
1-10-25,292900
1-10-26,151000
1-10-27,514300
1-10-28,403100
1-10-29,280900
1-10-30,339100
1-10-31,506700
1-11-1,429900
1-11-2,475900
1-11-3,416800
1-11-4,362500
1-11-5,507300
1-11-6,360800
1-11-7,416000
1-11-8,468800
1-11-9,545000
1-11-10,413500
1-11-11,579600
1-11-12,449100
1-11-13,338600
1-11-14,369000
1-11-15,483800
1-11-16,161000
1-11-17,359900
1-11-18,321400
1-11-19,433600
1-11-20,343800
1-11-21,391800
1-11-22,379400
1-11-23,350900
1-11-24,363300
1-11-25,294100
1-11-26,340600
1-11-27,138500
1-11-28,272600
1-11-29,358400
1-11-30,645300
1-12-1,517900
1-12-2,620200
1-12-3,701300
1-12-4,557100
1-12-5,420500
1-12-6,392500
1-12-7,464200
1-12-8,583200
1-12-9,469600
1-12-10,648300
1-12-11,382100
1-12-12,520000
1-12-13,322300
1-12-14,392100
1-12-15,305700
1-12-16,364300
1-12-17,382300
1-12-18,409600
1-12-19,442400
1-12-20,417600
1-12-21,353700
1-12-22,342600
1-12-23,396600
1-12-24,509000
1-12-25,256400
1-12-26,141700
1-12-27,263200
1-12-28,437000
1-12-29,350000
1-12-30,253600
1-12-31,749100
2-01-01,378800
2-01-02,574000
2-01-03,520400
2-01-04,529000
2-01-05,516400
2-01-06,431800
2-01-07,766600
2-01-08,598400
2-01-09,471100
2-01-10,631100
2-01-11,530900
2-01-12,538800
2-01-13,704600
2-01-14,688900
2-01-15,122300
2-01-16,137400
2-01-17,178200
2-01-18,335000
2-01-19,216200
2-01-20,423000
2-01-21,464300
2-01-22,440600
2-01-23,479600
2-01-24,282500
2-01-25,655300
2-01-26,352300
2-01-27,526100
2-01-28,514100
2-01-29,274500
2-01-30,366100
2-01-31,189300
2-02-01,629500
2-02-02,474500
2-02-03,523000
2-02-04,778500
2-02-05,341600
2-02-06,449700
2-02-07,510200
2-02-08,568700
2-02-09,586100
2-02-10,494800
2-02-11,616600
2-02-12,407300
2-02-13,365200
2-02-14,374800
2-02-15,550600
2-02-16,503000
2-02-17,248500
2-02-18,405600
2-02-19,256600
2-02-20,544700
2-02-21,348700
2-02-22,375700
2-02-23,338500
2-02-24,398800
2-02-25,503800
2-02-26,267800
2-02-27,258000
2-02-28,110500
2-02-29,606000
2-03-01,707900
2-03-02,594900
2-03-03,636100
2-03-04,686000
2-03-05,552300
2-03-06,520800
2-03-07,635600
2-03-08,574000
2-03-09,440200
2-03-10,777200
2-03-11,265200
2-03-12,382400
2-03-13,478000
2-03-14,442400
2-03-15,466600
2-03-16,394500
2-03-17,455700
2-03-18,438100
2-03-19,547500
2-03-20,446500
2-03-21,537200
2-03-22,610900
2-03-23,297900
2-03-24,584000
2-03-25,289000
2-03-26,609600
2-03-27,333700
2-03-28,522200
2-03-29,521600
2-03-30,510600
2-03-31,661500
2-04-01,503800
2-04-02,541600
2-04-03,751200
2-04-04,639600
2-04-05,527100
2-04-06,372300
2-04-07,711900
2-04-08,393900
2-04-09,653100
2-04-10,364400
2-04-11,616200
2-04-12,689200
2-04-13,293100
2-04-14,405200
2-04-15,253700
2-04-16,426800
2-04-17,180400
2-04-18,630200
2-04-19,367300
2-04-20,466000
2-04-21,600000
2-04-22,372200
2-04-23,594300
2-04-24,310100
2-04-25,452000
2-04-26,558000
2-04-27,421900
2-04-28,406400
2-04-29,316300
2-04-30,312400
2-05-01,266200
2-05-02,662200
2-05-03,481200
2-05-04,277900
2-05-05,53400
2-05-06,28300
2-05-07,33100
2-05-08,380300
2-05-09,671200
2-05-10,682400
2-05-11,467300
2-05-12,968700
2-05-13,350200
2-05-14,449100
2-05-15,570600
2-05-16,660400
2-05-17,289100
2-05-18,556800
2-05-19,404800
2-05-20,123800
2-05-21,527800
2-05-22,601100
2-05-23,504400
2-05-24,359300
2-05-25,487500
2-05-26,608100
2-05-27,364200
2-05-28,718600
2-05-29,423300
2-05-30,404600
2-05-31,580000
2-06-01,626100
2-06-02,904600
2-06-03,518300
2-06-04,523600
2-06-05,561500
2-06-06,599600
2-06-07,464600
2-06-08,763100
2-06-09,823100
2-06-10,512500
2-06-11,522200
2-06-12,691600
2-06-13,610000
2-06-14,832900
2-06-15,644900
2-06-16,755900
2-06-17,429300
2-06-18,507100
2-06-19,403500
2-06-20,512500
2-06-21,258200
2-06-22,534100
2-06-23,498400
2-06-24,315300
2-06-25,491100
2-06-26,607300
2-06-27,430100
2-06-28,467100
2-06-29,506200
2-06-30,420800
2-07-01,558200
2-07-02,802500
2-07-03,493900
2-07-04,621100
2-07-05,692500
2-07-06,491800
2-07-07,404200
2-07-08,573700
2-07-09,535600
2-07-10,449600
2-07-11,701800
2-07-12,339000
2-07-13,384700
2-07-14,622300
2-07-15,389600
2-07-16,568400
2-07-17,555800
2-07-18,587400
2-07-19,611500
2-07-20,456800
2-07-21,823500
2-07-22,502300
2-07-23,359900
2-07-24,499200
2-07-25,339900
2-07-26,639900
2-07-27,552100
2-07-28,438900
2-07-29,376100
2-07-30,587700
2-07-31,587800
2-08-01,850900
2-08-02,636300
2-08-03,554300
2-08-04,708400
2-08-05,700700
2-08-06,658200
2-08-07,647600
2-08-08,610800
2-08-09,583000
2-08-10,550100
2-08-11,632000
2-08-12,386500
2-08-13,617800
2-08-14,660700
2-08-15,542600
2-08-16,702600
2-08-17,502800
2-08-18,531900
2-08-19,176600
2-08-20,396900
2-08-21,600600
2-08-22,447600
2-08-23,268300
2-08-24,586000
2-08-25,778700
2-08-26,444000
2-08-27,360500
2-08-28,425600
2-08-29,354700
2-08-30,390400
2-08-31,606200
2-09-01,878300
2-09-02,346000
2-09-03,574600
2-09-04,791800
2-09-05,540500
2-09-06,557200
2-09-07,538300
2-09-08,409700
2-09-09,254300
2-09-10,695800
2-09-11,671500
2-09-12,451700
2-09-13,455500
2-09-14,624200
2-09-15,589800
2-09-16,345100
2-09-17,544900
2-09-18,502800
2-09-19,217100
2-09-20,469200
2-09-21,545800
2-09-22,546000
2-09-23,232500
2-09-24,503400
2-09-25,391900
2-09-26,484200
2-09-27,454000
2-09-28,536900
2-09-29,213200
2-09-30,487300
2-10-1,884200
2-10-2,426900
2-10-3,498700
2-10-4,524900
2-10-5,566000
2-10-6,502700
2-10-7,454400
2-10-8,793500
2-10-9,621500
2-10-10,678200
2-10-11,600000
2-10-12,182700
2-10-13,267300
