transaction_day,total_amount_withdrawn
1-01-01,123800
1-01-02,52800
1-01-03,88100
1-01-04,101600
1-01-05,98000
1-01-06,85900
1-01-07,76500
1-01-08,128600
1-01-09,89000
1-01-10,89800
1-01-11,111900
1-01-12,42700
1-01-13,81200
1-01-14,91100
1-01-15,115900
1-01-16,55100
1-01-17,129800
1-01-18,163600
1-01-19,79500
1-01-20,81700
1-01-21,86600
1-01-22,85400
1-01-23,36800
1-01-24,103900
1-01-25,139900
1-01-26,40500
1-01-27,83300
1-01-28,71300
1-01-29,163500
1-01-30,41100
1-01-31,70800
1-02-01,161700
1-02-02,79200
1-02-03,167800
1-02-04,112700
1-02-05,144000
1-02-06,110400
1-02-07,80300
1-02-08,175300
1-02-09,94600
1-02-10,78100
1-02-11,107400
1-02-12,143200
1-02-13,74900
1-02-14,117000
1-02-15,123700
1-02-16,23700
1-02-17,99700
1-02-18,141800
1-02-19,54300
1-02-20,56000
1-02-21,64200
1-02-22,142500
1-02-23,91900
1-02-24,74700
1-02-25,33700
1-02-26,119600
1-02-27,18000
1-02-28,149000
1-03-01,105800
1-03-02,143300
1-03-03,109100
1-03-04,167100
1-03-05,116000
1-03-06,110200
1-03-07,111300
1-03-08,134400
1-03-09,173100
1-03-10,127600
1-03-11,110200
1-03-12,82400
1-03-13,134700
1-03-14,76100
1-03-15,111200
1-03-16,131200
1-03-17,76300
1-03-18,97400
1-03-19,94300
1-03-20,9200
1-03-21,99400
1-03-22,47600
1-03-23,52800
1-03-24,34000
1-03-25,37900
1-03-26,41300
1-03-27,88800
1-03-28,144200
1-03-29,108600
1-03-30,110200
1-03-31,131800
1-04-01,134700
1-04-02,130500
1-04-03,237800
1-04-04,101000
1-04-05,202300
1-04-06,115400
1-04-07,109800
1-04-08,122500
1-04-09,155600
1-04-10,112700
1-04-11,141300
1-04-12,111500
1-04-13,208500
1-04-14,105600
1-04-15,90000
1-04-16,68100
1-04-17,103000
1-04-18,154000
1-04-19,92100
1-04-20,171400
1-04-21,120700
1-04-22,73900
1-04-23,112300
1-04-24,79900
1-04-25,71600
1-04-26,62100
1-04-27,80100
1-04-28,77600
1-04-29,86700
1-04-30,22400
1-05-01,60200
1-05-02,116500
1-05-03,97200
1-05-04,52900
1-05-05,111200
1-05-06,117300
1-05-07,138600
1-05-08,101000
1-05-09,65600
1-05-10,204200
1-05-11,114900
1-05-12,101000
1-05-13,53300
1-05-14,65000
1-05-15,57300
1-05-16,77900
1-05-17,66700
1-05-18,131400
1-05-19,162700
1-05-20,194700
1-05-21,98300
1-05-22,86900
1-05-23,107000
1-05-24,120800
1-05-25,250400
1-05-26,267400
1-05-27,161200
1-05-28,147900
1-05-29,68700
1-05-30,136800
1-05-31,133800
1-06-01,136500
1-06-02,109600
1-06-03,124700
1-06-04,209300
1-06-05,82200
1-06-06,127700
1-06-07,106000
1-06-08,109100
1-06-09,171700
1-06-10,121500
1-06-11,56700
1-06-12,125500
1-06-13,174800
1-06-14,72700
1-06-15,89100
1-06-16,144500
1-06-17,88200
1-06-18,118500
1-06-19,138500
1-06-20,148700
1-06-21,172000
1-06-22,104800
1-06-23,132500
1-06-24,197100
1-06-25,124100
1-06-26,54900
1-06-27,76500
1-06-28,189100
1-06-29,130000
1-06-30,101100
1-07-01,158800
1-07-02,68000
1-07-03,123200
1-07-04,93400
1-07-05,114000
1-07-06,96600
1-07-07,126800
1-07-08,113800
1-07-09,98200
1-07-10,163500
1-07-11,98400
1-07-12,86700
1-07-13,105700
1-07-14,48600
1-07-15,97500
1-07-16,122300
1-07-17,53400
1-07-18,100600
1-07-19,52500
1-07-20,158400
1-07-21,93800
1-07-22,121900
1-07-23,105300
1-07-24,146000
1-07-25,94900
1-07-26,135100
1-07-27,87400
1-07-28,109200
1-07-29,130300
1-07-30,163600
1-07-31,163300
1-08-01,292700
1-08-02,244000
1-08-03,310700
1-08-04,276400
1-08-05,190700
1-08-06,343200
1-08-07,227400
1-08-08,337600
1-08-09,269700
1-08-10,206400
1-08-11,209800
1-08-12,129400
1-08-13,73900
1-08-14,98300
1-08-15,29000
1-08-16,30800
1-08-17,85600
1-08-18,103500
1-08-19,48200
1-08-20,101300
1-08-21,129100
1-08-22,87500
1-08-23,135100
1-08-24,97600
1-08-25,125400
1-08-26,108500
1-08-27,63500
1-08-28,66500
1-08-29,103100
1-08-30,144800
1-08-31,132100
1-09-01,124000
1-09-02,201600
1-09-03,146900
1-09-04,232000
1-09-05,203100
1-09-06,109000
1-09-07,111500
1-09-08,133900
1-09-09,105700
1-09-10,67600
1-09-11,127100
1-09-12,93200
1-09-13,202600
1-09-14,118900
1-09-15,115100
1-09-16,195400
1-09-17,121000
1-09-18,113500
1-09-19,133200
1-09-20,117300
1-09-21,85600
1-09-22,51900
1-09-23,106000
1-09-24,69500
1-09-25,145800
1-09-26,32000
1-09-27,160400
1-09-28,149300
1-09-29,69500
1-09-30,177700
1-10-01,239500
1-10-02,149000
1-10-03,113200
1-10-04,68900
1-10-05,151600
1-10-07,36500
1-10-08,210500
1-10-09,181300
1-10-10,205000
1-10-11,106200
1-10-12,231900
1-10-13,155600
1-10-14,183700
1-10-15,173600
1-10-16,143500
1-10-17,102000
1-10-18,136200
1-10-19,179200
1-10-20,59400
1-10-21,109000
1-10-22,90900
1-10-23,150300
1-10-24,166500
1-10-25,208900
